                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7696,                 1.1756,                 1.0969,                0.89834,                  0.167,                0.50753,                 0.2088,                 2.0833,                 2.7036,                 1.3309,             0.00090222,             0.00090222,             0.00090222
                     35,                 1.8147,                 1.2539,                 1.1484,                      1,                0.19238,                0.46503,                0.19346,                 2.1081,                 2.7186,                 1.3529,             0.00091549,             0.00091549,             0.00091549
                     36,                 1.9089,                 1.5949,                  1.245,                0.92483,                0.23244,                0.45122,                0.20222,                 2.0745,                 2.6829,                 1.3507,             0.00092797,             0.00092797,             0.00092797
                     37,                 1.6845,                 1.2592,                 1.1188,                0.92483,                0.23244,                0.45122,                0.20222,                 2.0745,                 2.6829,                 1.3507,             0.00093966,             0.00093966,             0.00093966
                     38,                 1.7517,                 1.2616,                 1.0428,                0.87059,                0.25416,                0.46295,                0.20416,                 1.9729,                 2.6042,                 1.3165,             0.00095055,             0.00095055,             0.00095055
                     39,                 1.7891,                 1.2477,                 1.2094,                0.90687,                0.36768,                0.57987,                 0.2233,                 1.9254,                 2.4836,                 1.3098,             0.00096065,             0.00096065,             0.00096065
                     40,                 1.7317,                 1.1689,                 1.1682,                0.90687,                0.36768,                0.57987,                 0.2233,                 1.9254,                 2.4836,                 1.3098,             0.00096996,             0.00096996,             0.00096996
                     41,                 1.6626,                  1.669,                  1.177,                0.86269,                 0.4717,                0.59795,                0.22401,                 1.9772,                 2.3723,                 1.3557,             0.00097848,             0.00097848,             0.00097848
                     42,                 1.6796,                 1.1538,                 1.0371,                 0.7151,                 0.4717,                 0.5331,                0.20875,                 2.0075,                 2.2163,                 1.3561,             0.00098621,             0.00098621,             0.00098621
                     43,                 1.6831,                 1.5613,                  1.159,                 0.7151,                 0.4717,                 0.5331,                0.20875,                 2.0075,                 2.2163,                 1.3561,             0.00099314,             0.00099314,             0.00099314
                     44,                 1.4667,                 1.2228,                 1.0616,                0.76849,                 0.5283,                0.55639,                0.22951,                 1.9667,                 2.1021,                 1.3304,             0.00099928,             0.00099928,             0.00099928
                     45,                  1.648,                  1.031,                 1.0379,                0.76849,                 0.5283,                0.55639,                0.22951,                 1.9667,                 2.1021,                 1.3304,              0.0010046,              0.0010046,              0.0010046
                     46,                 1.6246,                 1.1902,                 1.0546,                 0.5096,                 0.4717,                0.45481,                0.21338,                 1.9098,                 2.0789,                 1.3137,              0.0010092,              0.0010092,              0.0010092
                     47,                 1.5984,                 1.0659,                 1.0091,                 0.5096,                 0.4717,                0.45481,                0.21338,                 1.9098,                 2.0789,                 1.3137,               0.001013,               0.001013,               0.001013
                     48,                 1.4991,                 1.1795,                 1.0951,                0.43424,                0.41509,                0.44893,                0.21794,                 1.8925,                 2.0339,                 1.3133,              0.0010159,              0.0010159,              0.0010159
                     49,                 1.4624,                 1.1955,                 1.0712,                0.43424,                0.41509,                0.44893,                0.21794,                 1.8925,                 2.0339,                 1.3133,              0.0010181,              0.0010181,              0.0010181
                     50,                 1.8231,                 1.2186,                 1.2821,                0.56485,                0.46543,                0.50257,                0.23442,                 1.9298,                 2.0061,                 1.3381,              0.0010195,              0.0010195,              0.0010195
