                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6962,                 1.2082,                 1.0661,                      1,                0.13928,                0.38134,                0.15319,                 2.1358,                  2.848,                 1.4324,             0.00090222,             0.00090222,             0.00090222
                     35,                 1.7595,                 1.2964,                 1.1641,                      1,                0.18052,                 0.3252,                0.13323,                 2.1888,                 2.8703,                 1.4871,             0.00091549,             0.00091549,             0.00091549
                     36,                 1.8578,                 1.5688,                 1.1684,                      1,                0.21235,                0.28748,                0.12696,                  2.186,                 2.8009,                 1.5049,             0.00092797,             0.00092797,             0.00092797
                     37,                 1.7154,                 1.2603,                 1.1389,                      1,                0.21235,                0.28748,                0.12696,                  2.186,                 2.8009,                 1.5049,             0.00093966,             0.00093966,             0.00093966
                     38,                 1.7866,                 1.2304,                 1.0658,                      1,                0.19626,                0.30975,                0.13808,                 2.1002,                 2.6581,                 1.4411,             0.00095055,             0.00095055,             0.00095055
                     39,                 1.7821,                    1.2,                 1.2079,                0.84804,                0.20755,                0.36118,                0.17667,                 1.9747,                 2.4868,                 1.3607,             0.00096065,             0.00096065,             0.00096065
                     40,                 1.6935,                 1.2884,                 1.2054,                0.84804,                0.20755,                0.36118,                0.17667,                 1.9747,                 2.4868,                 1.3607,             0.00096996,             0.00096996,             0.00096996
                     41,                 1.9147,                 1.4959,                 1.3106,                0.71712,                0.28714,                0.41108,                0.18612,                 1.9658,                 2.2769,                 1.3348,             0.00097848,             0.00097848,             0.00097848
                     42,                 1.7096,                 1.2281,                 1.0395,                0.69349,                0.35849,                0.44788,                0.18941,                  2.003,                 2.1307,                 1.3336,             0.00098621,             0.00098621,             0.00098621
                     43,                 1.6906,                 1.5552,                 1.1783,                0.69349,                0.35849,                0.44788,                0.18941,                  2.003,                 2.1307,                 1.3336,             0.00099314,             0.00099314,             0.00099314
                     44,                 1.5234,                 1.2583,                 1.0907,                0.58824,                0.33962,                0.43595,                0.17792,                  1.974,                 2.1974,                 1.3244,             0.00099928,             0.00099928,             0.00099928
                     45,                 1.7127,                 1.1538,                 1.0587,                0.58824,                0.33962,                0.43595,                0.17792,                  1.974,                 2.1974,                 1.3244,              0.0010046,              0.0010046,              0.0010046
